DATES,weight,fat,calorie
2019-01-01,,,1121
2019-01-02,,,1121
2019-01-03,,,1121
2019-01-04,,,1121
2019-01-05,,,1121
2019-01-06,,,1121
2019-01-07,,,1121
2019-01-08,,,1121
2019-01-09,,,1121
2019-01-10,,,1121
2019-01-11,,,1121
2019-01-12,,,1121
2019-01-13,,,1121
2019-01-14,,,1121
2019-01-15,,,1121
2019-01-16,,,1121
2019-01-17,,,1121
2019-01-18,,,1121
2019-01-19,,,1187
2019-01-20,,,1672
2019-01-21,,,1444
2019-01-22,,,1583
2019-01-23,,,1505
2019-01-24,43.86363636363636,,1700
2019-01-25,,,1611
2019-01-26,,,1869
2019-01-27,,,1898
2019-01-28,,,1576
2019-01-29,,,1585
2019-01-30,,,1816
2019-01-31,,,1935
2019-02-01,,,1462
2019-02-02,,,1759
2019-02-03,,,2294
2019-02-04,,,1608
2019-02-05,,,1805
2019-02-06,,,1849
2019-02-07,,,1587
2019-02-08,,,1614
2019-02-09,,,2062
2019-02-10,,,1388
2019-02-11,,,1381
2019-02-12,,,1597
2019-02-13,,,1629
2019-02-14,,,1641
2019-02-15,,,1659
2019-02-16,,,1600
2019-02-17,,,1922
2019-02-18,,,1684
2019-02-19,,,1721
2019-02-20,,,1611
2019-02-21,,,1770
2019-02-22,,,1648
2019-02-23,,,1475
2019-02-24,,,1519
2019-02-25,,,1773
2019-02-26,,,1554
2019-02-27,,,1633
2019-02-28,,22.1,1690
2019-03-01,43.81818181818182,22.8,1503
2019-03-02,43.99999999999999,21.7,1597
2019-03-03,44.36363636363636,22.3,1880
2019-03-04,43.99999999999999,22.0,1552
2019-03-05,,,1134
2019-03-06,44.68181818181818,21.0,1750
2019-03-07,44.68181818181818,20.8,1777
2019-03-08,,22.0,1862
2019-03-09,44.13636363636363,21.2,1884
2019-03-10,43.68181818181817,21.3,1237
2019-03-11,,,1357
2019-03-12,43.13636363636363,20.9,1656
2019-03-13,43.95454545454545,22.8,1580
2019-03-14,,21.8,1715
2019-03-15,43.81818181818182,22.5,1469
2019-03-16,43.454545454545446,,1367
2019-03-17,43.454545454545446,,1433
2019-03-18,,,1730
2019-03-19,43.63636363636363,,1399
2019-03-20,,,1594
2019-03-21,,,2191
2019-03-22,,,1501
2019-03-23,,,1715
2019-03-24,,,1354
2019-03-25,,,1541
2019-03-26,,,1678
2019-03-27,43.81818181818182,24.0,1563
2019-03-28,43.90909090909091,23.1,1412
2019-03-29,43.86363636363636,22.8,1426
2019-03-30,43.86363636363636,22.3,1531
2019-03-31,44.13636363636363,22.6,1957
2019-04-01,43.63636363636363,22.8,1547
2019-04-02,,,1462
2019-04-03,,,1567
2019-04-04,44.13636363636363,22.1,1466
2019-04-05,43.81818181818182,22.4,1885
2019-04-06,43.90909090909091,22.8,1617
2019-04-07,42.99999999999999,,1313
2019-04-08,42.90909090909091,,1457
2019-04-09,,,1755
2019-04-10,,,1390
2019-04-11,,23.8,1495
2019-04-12,44.36363636363636,23.3,1493
2019-04-13,44.772727272727266,23.2,1733
2019-04-14,44.31818181818181,,1466
2019-04-15,,23.5,1561
2019-04-16,,,1600
2019-04-17,,,1416
2019-04-18,,,1671
2019-04-19,,,1504
2019-04-20,44.27272727272727,22.7,1682
2019-04-21,44.72727272727273,23.1,1449
2019-04-22,,,1693
2019-04-23,,,1630
2019-04-24,43.81818181818182,23.1,1204
2019-04-25,44.63636363636363,22.3,1469
2019-04-26,,,1531
2019-04-27,,21.4,1648
2019-04-28,,22.7,1384
2019-04-29,,,2819
2019-04-30,,,1391
2019-05-01,,22.7,1211
2019-05-02,,,1321
2019-05-03,43.40909090909091,,1330
2019-05-04,,,1578
2019-05-05,,,1854
2019-05-06,,,1615
2019-05-07,44.36363636363636,22.8,1606
2019-05-08,44.27272727272727,22.5,1648
2019-05-09,,,1417
2019-05-10,,,1711
2019-05-11,,,1675
2019-05-12,44.63636363636363,21.9,1636
